Original,Language Code,Language Name,Initial,Final,Validated
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,hi,Hindi,दुखद अंत से ठीक पहले उसकी बेटी द्वारा साझा की गई रॉब राइनर की आखिरी तस्वीरें,दुखद अंत से ठीक पहले उसकी बेटी द्वारा साझा की गई रॉब राइनर की अंतिम तस्वीरें,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,id,Indonesian,Foto-foto terakhir Rob Reiner yang dibagikan putrinya tepat sebelum akhir tragis,Foto-foto terakhir Rob Reiner yang dibagikan putrinya tepat sebelum akhir yang tragis,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,it,Italian,Le ultime foto di Rob Reiner che sua figlia ha condiviso proprio prima del tragico finale,Le ultime foto di Rob Reiner che sua figlia ha condiviso proprio prima del finale tragico,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,ja,Japanese,悲劇的な結末の直前に娘が共有したロブ・ライナーの最後の写真,悲劇的な結末の直前に娘が共有したロブ・ライナーの最後の写真,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,ms,Malay,Foto-foto terakhir Rob Reiner yang dikongsi anak perempuannya tepat sebelum pengakhiran tragis,Foto-foto terakhir Rob Reiner yang dikongsi anak perempuannya tepat sebelum pengakhiran yang tragis,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,pl,Polish,"Ostatnie zdjęcia Roba Reinera, które jego córka udostępniła tuż przed tragicznym finałem","Ostatnie zdjęcia Roba Reinera, które jego córka udostępniła tuż przed tragicznym finałem",True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,pt,Portuguese,As últimas fotos de Rob Reiner que sua filha compartilhou pouco antes do trágico final,As últimas fotos de Rob Reiner que sua filha compartilhou pouco antes do final trágico,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,ro,Romanian,Cele mai recente fotografii cu Rob Reiner pe care le-a împărtășit fiica lui chiar înainte de finalul tragic,Cele mai recente fotografii cu Rob Reiner pe care le-a împărtășit fiica lui chiar înainte de sfârșitul tragic,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,sv,Swedish,De senaste bilderna på Rob Reiner som hans dotter delade precis före det tragiska slutet,De senaste bilderna på Rob Reiner som hans dotter delade precis före den tragiska slutet,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,tl,Tagalog,Ang mga pinakahuling litrato ni Rob Reiner na ibinahagi ng anak niyang babae ilang sandali bago ang malagim na wakas,Ang mga pinakahuling litrato ni Rob Reiner na ibinahagi ng anak niyang babae ilang sandali bago ang malagim niyang wakas,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,zh-TW,Chinese (Traditional),羅伯·萊納女兒在悲劇性結局前剛剛分享的最新照片,羅伯·萊納的女兒在悲劇性結局前剛剛分享的最新照片,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,th,Thai,ภาพล่าสุดของร็อบ ไรเนอร์ที่ลูกสาวของเขาแชร์ก่อนหน้าจุดจบอันน่าเศร้า,ภาพล่าสุดของร็อบ ไรเนอร์ ที่ลูกสาวของเขาแชร์ก่อนหน้าจุดจบอันน่าเศร้า,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,tr,Turkish,Rob Reiner’ın trajik sonundan hemen önce kızı tarafından paylaşılan son fotoğrafları,Rob Reiner’ın trajik sonundan hemen önce kızı tarafından paylaşılan son fotoğraflar,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,uk,Ukrainian,"Останні фото Роба Райнера, які його донька поділила якраз перед трагічним фіналом","Останні фото Роба Райнера, якими його донька поділилася якраз перед трагічним фіналом",True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,vi,Vietnamese,Những bức ảnh cuối cùng của Rob Reiner mà con gái ông chia sẻ ngay trước cái kết bi thảm,Những bức ảnh cuối cùng của Rob Reiner do con gái ông chia sẻ ngay trước cái kết bi thảm,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,ar,Arabic,مطعم يهدي الوجبة الأخيرة لكلبة صغيرة مصابة بورم في أنفها قبل وداعها,مطعم يهدي الوجبة الأخيرة لكلبة صغيرة مصابة بورم في أنفها قبل توديعها,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,bn,Bengali,এক রেস্তোরাঁ নাকে টিউমার থাকা এক মাদি কুকুরের শেষ খাবারটি তার বিদায়ের আগে উপহার দেয়,এক রেস্তোরাঁ নাকে টিউমার থাকা এক মাদি কুকুরকে তার বিদায়ের আগে শেষ খাবারটি উপহার দেয়,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,nl,Dutch,Restaurant schenkt het laatste maal van een hondje met een tumor in haar neus vóór haar afscheid,Restaurant schenkt de laatste maaltijd van een hondje met een tumor in haar neus vóór haar afscheid,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,en,English,Restaurant gives away the last meal of a little dog with a tumor on her nose before her farewell,Restaurant gives away the last meal of a little dog with a tumor on her nose before her goodbye,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,fr,French,Un restaurant offre le dernier repas d’une petite chienne avec une tumeur au nez avant son adieu,Un restaurant offre le dernier repas d’une petite chienne atteinte d’une tumeur au nez avant son adieu,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,de,German,Restaurant schenkt einer Hündin mit einem Tumor in der Nase ihre letzte Mahlzeit vor ihrem Abschied,Restaurant schenkt einer Hündin mit einem Tumor in der Nase ihre letzte Mahlzeit vor ihrem Abschied,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,he,Hebrew,מסעדה מעניקה את הארוחה האחרונה של כלבה קטנה עם גידול באף לפני פרידתה,מסעדה מעניקה את הארוחה האחרונה לכלבה קטנה עם גידול באף לפני פרידתה,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,hi,Hindi,रेस्तरां एक नाक में ट्यूमर वाली कुतिया की आखिरी खाना उसकी विदाई से पहले मुफ्त में देता है,रेस्तरां नाक में ट्यूमर वाली कुतिया का आखिरी खाना उसकी विदाई से पहले मुफ्त में देता है,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,id,Indonesian,Restoran menghadiahkan santapan terakhir seekor anjing betina kecil dengan tumor di hidung sebelum perpisahannya,Restoran menghadiahkan santapan terakhir kepada seekor anjing betina kecil dengan tumor di hidung sebelum perpisahannya,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,it,Italian,Ristorante regala l’ultimo pasto a una cagnolina con un tumore al naso prima del suo addio,Ristorante regala l’ultimo pasto a una cagnolina con un tumore al naso prima del suo addio,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,ja,Japanese,レストランが、鼻に腫瘍がある雌犬の最後の食事を別れの前にプレゼントする,レストランが、鼻に腫瘍がある雌犬に別れの前の最後の食事をプレゼントする,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,ms,Malay,Restoran menghadiahkan hidangan terakhir seekor anjing betina kecil dengan tumor di hidung sebelum perpisahannya,Restoran menghadiahkan hidangan terakhir kepada seekor anjing betina kecil dengan tumor di hidung sebelum perpisahannya,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,pl,Polish,Restauracja podarowała ostatni posiłek suczce z guzem na nosie przed jej pożegnaniem,Restauracja podarowała ostatni posiłek suczce z guzem na nosie przed jej pożegnaniem się,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,pt,Portuguese,Restaurante presenteia a última refeição de uma cadelinha com um tumor no nariz antes de sua despedida,Restaurante presenteia a última refeição de cadelinha com tumor no nariz antes de sua despedida,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,ro,Romanian,Restaurantul oferă ultima masă unei cățelușe cu o tumoră pe nas înainte de despărțirea ei,Restaurantul oferă ultima masă unei cățelușe cu o tumoră pe nas înainte de despărțirea de ea,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,sv,Swedish,Restaurang bjuder på sista måltiden till en liten tik med en tumör på nosen före hennes avsked,Restaurang bjuder på sista måltiden till liten tik med tumör på nosen före hennes avsked,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,tl,Tagalog,"Restawran, niregaluhan ang huling pagkain ng isang asong babae na may tumor sa ilong bago ang kanyang pamamaalam","Restawran, niregaluhan ang huling pagkain ng isang asong babae na may tumor sa ilong bago ang kanyang pamamaalam",True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,zh-TW,Chinese (Traditional),餐廳在一隻鼻子長腫瘤的母狗告別前贈送了牠最後的一餐,餐廳在一隻鼻子長腫瘤的母狗告別前贈送牠最後的一餐,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,th,Thai,ร้านอาหารมอบอาหารมื้อสุดท้ายให้สุนัขเพศเมียตัวหนึ่งที่มีเนื้องอกที่จมูกก่อนการอำลาของเธอ,ร้านอาหารมอบอาหารมื้อสุดท้ายให้สุนัขเพศเมียตัวหนึ่งที่มีเนื้องอกที่จมูกก่อนการจากลาของเธอ,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,tr,Turkish,"Restoran, burnunda tümör olan dişi köpeğin vedasından önceki son yemeğini hediye ediyor","Restoran, burnunda tümör olan dişi köpeğin vedasından önceki son yemeğini hediye etti",True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,uk,Ukrainian,Ресторан дарує останню їжу собачці з пухлиною в носі перед її прощанням,Ресторан дарує останню їжу собачці з пухлиною в носі перед її прощаннямся,True
Restaurante regala la última comida de una perrita con un tumor en la nariz antes de su despedida,vi,Vietnamese,Nhà hàng tặng bữa ăn cuối cùng cho một cô chó con bị khối u ở mũi trước lúc chia tay,Nhà hàng tặng bữa ăn cuối cùng cho một cô chó con bị khối u ở mũi trước lúc chia ly,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,ar,Arabic,قوارض صغيرة تستخدم زهور التوليب كأسرّة فاخرة للنوم,قوارض صغيرة تستخدم زهور التوليب كأسرّة فاخرة للنوم,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,bn,Bengali,ছোট ছোট ইঁদুর বিলাসবহুল বিছানা হিসেবে টিউলিপ ব্যবহার করে ঘুমায়,ছোট ছোট ইঁদুর বিলাসবহুল বিছানা হিসেবে টিউলিপ ব্যবহার করে ঘুমায়,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,nl,Dutch,Kleine knaagdieren gebruiken tulpen als luxebedden om in te slapen,Kleine knaagdieren gebruiken tulpen als luxe bedden om in te slapen,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,en,English,Small rodents use tulips as luxury beds to sleep,Small rodents use tulips as luxury beds to sleep in,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,fr,French,De petits rongeurs utilisent des tulipes comme lits de luxe pour dormir,De petits rongeurs utilisent des tulipes comme lits de luxe pour dormir,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,de,German,Kleine Nagetiere benutzen Tulpen als Luxusbett zum Schlafen,Kleine Nagetiere benutzen Tulpen als Luxusbetten zum Schlafen,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,he,Hebrew,מכרסמים קטנים משתמשים בצבעונים כמיטות יוקרה לשינה,מכרסמים קטנים משתמשים בצבעונים כמיטות יוקרה לשינה,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,hi,Hindi,छोटे कृंतक सोने के लिए ट्यूलिप को लग्जरी बिस्तर की तरह इस्तेमाल करते हैं,छोटे कृंतक सोने के लिए ट्यूलिप को लग्जरी बिस्तर की तरह इस्तेमाल करते हैं,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,id,Indonesian,Tikus kecil menggunakan tulip sebagai tempat tidur mewah untuk tidur,Tikus kecil menggunakan tulip sebagai tempat tidur mewah untuk tidur,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,it,Italian,Piccoli roditori usano i tulipani come letti di lusso per dormire,Piccoli roditori usano i tulipani come letti di lusso per dormire,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,ja,Japanese,小さなげっ歯類がチューリップを高級ベッドとして使って眠る,小さなげっ歯類がチューリップを高級ベッドとして使って眠る,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,ms,Malay,Tikus kecil menggunakan tulip sebagai katil mewah untuk tidur,Tikus kecil menggunakan tulip sebagai katil mewah untuk tidur lena,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,pl,Polish,Małe gryzonie używają tulipanów jako luksusowych łóżek do spania,Małe gryzonie używają tulipanów jako luksusowych łóżek do snu,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,pt,Portuguese,Pequenos roedores usam tulipas como camas de luxo para dormir,Pequenos roedores usam tulipas como camas de luxo para dormir,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,ro,Romanian,Mici rozătoare folosesc lalelele ca paturi de lux pentru a dormi,Mici rozătoare folosesc lalelele ca paturi de lux pentru a dormi,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,sv,Swedish,Små gnagare använder tulpaner som lyxsängar för att sova,Små gnagare använder tulpaner som lyxsängar när de sover,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,tl,Tagalog,Maliliit na daga gumagamit ng mga tulip bilang marangyang kama para matulog,"Maliliit na daga, gumagamit ng mga tulip bilang marangyang kama para matulog",True
Pequeños roedores usan tulipanes como camas de lujo para dormir,zh-TW,Chinese (Traditional),小型囓齒動物把鬱金香當成豪華床來睡覺,小型囓齒動物把鬱金香當成豪華床睡覺,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,th,Thai,สัตว์ฟันแทะตัวเล็กใช้ดอกทิวลิปเป็นเตียงหรูสำหรับนอนหลับ,สัตว์ฟันแทะตัวเล็กใช้ดอกทิวลิปเป็นเตียงหรูสำหรับหลับพักผ่อน,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,tr,Turkish,Küçük kemirgenler uyumak için lüks yatak olarak laleleri kullanıyor,Küçük kemirgenler uyumak için lüks yatak olarak laleleri kullanıyorlar,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,uk,Ukrainian,Маленькі гризуни використовують тюльпани як розкішні ліжка для сну,Маленькі гризуни використовують тюльпани як розкішні ліжка для сну,True
Pequeños roedores usan tulipanes como camas de lujo para dormir,vi,Vietnamese,Những loài gặm nhấm nhỏ dùng hoa tulip làm giường sang trọng để ngủ,Những loài gặm nhấm nhỏ dùng hoa tulip làm giường ngủ sang trọng,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,ar,Arabic,جرو مُنقَذ لا يتوقف عن مراقبة صاحبه خوفًا من التخلّي عنه,جرو مُنقَذ لا يتوقف عن مراقبة صاحبه خوفًا من التخلّي عنه,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,bn,Bengali,উদ্ধার হওয়া কুকুরছানাটি পরিত্যক্ত হওয়ার ভয়ে তার মালিকের ওপর থেকে নজর সরায় না,উদ্ধার হওয়া কুকুরছানাটি পরিত্যক্ত হওয়ার ভয়ে তার মালিকের দিক থেকে নজর সরায় না,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,nl,Dutch,Geredde hond stopt niet met zijn baasje in de gaten houden uit angst om verlaten te worden,Geredde hond stopt niet met zijn baasje in de gaten houden uit angst om verlaten te worden,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,en,English,Rescued puppy does not stop watching his owner for fear of abandonment,Rescued puppy does not stop watching his owner for fear of being abandoned,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,fr,French,Chiot secouru ne cesse de surveiller son maître par peur de l’abandon,Chiot secouru ne cesse de surveiller son maître par peur d’abandon,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,de,German,"Geretteter Hund hört nicht auf, seinen Besitzer aus Angst vor dem Verlassenwerden zu bewachen","Geretteter Hund hört nicht auf, seinen Besitzer aus Angst vor dem Verlassenwerden zu bewachen",True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,he,Hebrew,כלב קטן שניצל לא מפסיק להשגיח על בעליו מפחד שינטש,כלב קטן שניצל לא מפסיק להשגיח על בעליו מפחד שינטשו אותו,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,hi,Hindi,बचाए गए पिल्ले को छोड़ दिए जाने के डर से अपने मालिक पर नज़र रखना बंद नहीं करता,छोड़े जाने के डर से बचाया गया पिल्ला अपने मालिक पर नज़र रखना बंद नहीं करता,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,id,Indonesian,Anjing kecil yang diselamatkan tidak berhenti mengawasi pemiliknya karena takut ditelantarkan,Anjing kecil yang diselamatkan tidak berhenti mengawasi pemiliknya karena takut ditelantarkan kembali,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,it,Italian,Cagnolino salvato non smette di sorvegliare il suo padrone per paura dell’abbandono,Cagnolino salvato non smette di sorvegliare il suo padrone per paura di essere abbandonato,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,ja,Japanese,捨てられるのが怖くて、救出された子犬は飼い主を見張るのをやめない,捨てられるのが怖くて、救出された子犬は飼い主を見張るのをやめないままだ,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,ms,Malay,Anak anjing yang diselamatkan tidak berhenti mengawasi tuannya kerana takut ditinggalkan,Anak anjing yang diselamatkan tidak berhenti mengawasi tuannya kerana takut akan ditinggalkan,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,pl,Polish,Uratowany piesek nie przestaje pilnować swojego właściciela ze strachu przed porzuceniem,Uratowany piesek nie przestaje pilnować swojego właściciela ze strachu przed porzuceniem,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,pt,Portuguese,Cachorrinho resgatado não para de vigiar seu dono por medo de abandono,Cachorrinho resgatado não para de vigiar o dono por medo de abandono,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,ro,Romanian,Căţeluşul salvat nu încetează să‑și vegheze stăpânul de teamă să nu fie abandonat,Căţeluşul salvat nu încetează să‑și vegheze stăpânul de teamă să nu fie din nou abandonat,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,sv,Swedish,Räddad hundvalp slutar inte att vaka över sin ägare av rädsla för att bli övergiven,Räddad hundvalp slutar inte vaka över sin ägare av rädsla för att bli övergiven,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,tl,Tagalog,Asong tuta na nasagip hindi tumitigil sa pagbabantay sa amo dahil sa takot na maabandonado,"Nasagip na asong tuta, hindi tumitigil sa pagbabantay sa amo dahil sa takot na maabandonado",True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,zh-TW,Chinese (Traditional),被救的小狗因害怕被遺棄而不停看守著牠的主人,被救的小狗因害怕被遺棄而不停看守著牠的主人,False
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,th,Thai,ลูกสุนัขที่ได้รับการช่วยเหลือไม่หยุดเฝ้าดูเจ้าของเพราะกลัวการถูกทอดทิ้ง,ลูกสุนัขที่ได้รับการช่วยเหลือไม่หยุดเฝ้ามองเจ้าของเพราะกลัวถูกทอดทิ้ง,True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,tr,Turkish,"Kurtarılan köpekçik, terk edilme korkusuyla sahibini gözünü ayırmadan izliyor","Kurtarılan köpekçik, terk edilme korkusuyla sahibini gözünü ayırmadan izliyor",True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,uk,Ukrainian,"Песик, якого врятували, не перестає стежити за своїм господарем через страх покинення","Песик, якого врятували, не перестає стежити за своїм господарем через страх покинутості",True
Perrito rescatado no deja de vigilar a su dueño por miedo al abandono,vi,Vietnamese,Chú chó con được cứu không ngừng trông chừng chủ vì sợ bị bỏ rơi,Chú chó con được cứu không ngừng trông chừng chủ vì sợ sẽ bị bỏ rơi,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,ar,Arabic,روبي ويليامز يلقي باللوم في تدهور بصره على الحقن لإنقاص الوزن,روبي ويليامز يلقي باللوم في تدهور بصره على حقن إنقاص الوزن,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,bn,Bengali,রবি উইলিয়ামস তার দৃষ্টিশক্তির অবনতির জন্য ওজন কমানোর ইনজেকশনগুলোকে দায়ী করছেন,রবি উইলিয়ামস তার দৃষ্টিশক্তি অবনতির জন্য ওজন কমানোর ইনজেকশনগুলোকে দায়ী করছেন,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,nl,Dutch,Robbie Williams wijt de achteruitgang van zijn zicht aan injecties voor gewichtsverlies,Robbie Williams wijt de achteruitgang van zijn zicht aan injecties tegen gewichtsverlies,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,en,English,Robbie Williams blames the deterioration of his eyesight on weight loss injections,Robbie Williams blames the deterioration of his eyesight on weight-loss injections,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,fr,French,Robbie Williams attribue la détérioration de sa vue aux injections pour la perte de poids,Robbie Williams attribue la détérioration de sa vue aux injections contre la perte de poids,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,de,German,Robbie Williams macht die Verschlechterung seines Sehvermögens den Spritzen zur Gewichtsabnahme verantwortlich,Robbie Williams macht die Verschlechterung seines Sehvermögens den Spritzen zur Gewichtsabnahme verantwortlich,False
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,he,Hebrew,רובי ויליאמס מאשים את ההידרדרות בראייה שלו בזריקות לירידה במשקל,רובי ויליאמס מאשים את ההידרדרות בראייתו בזריקות לירידה במשקל,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,hi,Hindi,रॉबी विलियम्स अपनी नज़र के बिगड़ने के लिए वजन घटाने की इंजेक्शनों को जिम्मेदार ठहराते हैं,रॉबी विलियम्स अपनी नज़र के बिगड़ने के लिए वजन घटाने की इंजेक्शनों को ज़िम्मेदार ठहराते हैं,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,id,Indonesian,Robbie Williams menyalahkan memburuknya penglihatannya pada suntikan untuk penurunan berat badan,Robbie Williams menyalahkan memburuknya penglihatannya pada suntikan penurunan berat badan,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,it,Italian,Robbie Williams attribuisce il deterioramento della sua vista alle iniezioni per la perdita di peso,Robbie Williams attribuisce il deterioramento della vista alle iniezioni per la perdita di peso,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,ja,Japanese,ロビー・ウィリアムズは視力の低下を減量用注射のせいにしている,ロビー・ウィリアムズは視力の低下を減量用注射のせいにしている,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,ms,Malay,Robbie Williams menyalahkan kemerosotan penglihatannya pada suntikan untuk penurunan berat badan,Robbie Williams menyalahkan kemerosotan penglihatannya pada suntikan penurunan berat badan,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,pl,Polish,Robbie Williams obwinia pogorszenie swojego wzroku za zastrzyki na odchudzanie,Robbie Williams obwinia pogorszenie swojego wzroku za zastrzyki odchudzające,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,pt,Portuguese,Robbie Williams culpa o deterioro da sua visão às injeções para perda de peso,Robbie Williams culpa o deterioro da sua visão às injeções para perda de peso,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,ro,Romanian,Robbie Williams pune deteriorarea vederii sale pe seama injecțiilor pentru pierderea în greutate,Robbie Williams pune deteriorarea vederii sale pe seama injecțiilor pentru slăbit,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,sv,Swedish,Robbie Williams skyller försämringen av sin syn på injektionerna för viktminskning,Robbie Williams skyller försämringen av sin syn på injektioner för viktminskning,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,tl,Tagalog,Isinisisi ni Robbie Williams ang paglala ng kanyang paningin sa mga iniksyon para sa pagbabawas ng timbang,Isinisisi ni Robbie Williams ang paglala ng kanyang paningin sa mga iniksyon para magbawas ng timbang,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,zh-TW,Chinese (Traditional),羅比·威廉斯將視力惡化歸咎於減重注射,羅比·威廉斯將視力惡化歸咎於減重注射,False
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,th,Thai,ร็อบบี้ วิลเลียมส์โทษว่าการมองเห็นของเขาเสื่อมลงเป็นเพราะการฉีดยาลดน้ำหนัก,ร็อบบี้ วิลเลียมส์โทษว่าการมองเห็นของเขาเสื่อมลงเพราะการฉีดยาลดน้ำหนัก,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,tr,Turkish,"Robbie Williams, görme yetisinin bozulmasından kilo kaybı için yapılan enjeksiyonları sorumlu tutuyor","Robbie Williams, görme yetisinin bozulmasından kilo kaybı için yapılan enjeksiyonları sorumlu tutuyor",True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,uk,Ukrainian,Роббі Вільямс пов’язує погіршення зору з ін’єкціями для схуднення,Роббі Вільямс пов’язує погіршення зору з ін’єкціями для схуднення,True
Robbie Williams culpa el deterioro de su vista a las inyecciones para la pérdida de peso,vi,Vietnamese,Robbie Williams đổ lỗi sự suy giảm thị lực của mình cho các mũi tiêm giảm cân,Robbie Williams đổ lỗi sự suy giảm thị lực của mình cho những mũi tiêm giảm cân,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,ar,Arabic,سكارليت جوهانسون في موعد أعمى مع جرو بيتبول صغير,سكارليت جوهانسون في موعد أعمى مع جرو بيتبول صغير,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,bn,Bengali,স্কারলেট জোহানসন একটি ছোট পিটবুলের সঙ্গে অন্ধ ডেটে যান,স্কারলেট জোহানসন একটি ছোট পিটবুলের সঙ্গে অন্ধ ডেটে গেলেন,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,nl,Dutch,Scarlett Johansson heeft een blind date met een kleine pitbull,Scarlett Johansson heeft een blind date met een kleine pitbull,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,en,English,Scarlett Johansson has a blind date with a little pit bull,Scarlett Johansson has a blind date with a small pit bull,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,fr,French,Scarlett Johansson a un rendez-vous à l’aveugle avec une petite pitbull,Scarlett Johansson a un rendez-vous à l’aveugle avec une petite chienne pitbull,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,de,German,Scarlett Johansson hat ein Blind Date mit einer kleinen Pitbull-Hündin,Scarlett Johansson hat ein Blind Date mit einer kleinen Pitbullhündin,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,he,Hebrew,סקרלט ג'והנסון יוצאת לדייט עיוור עם פיטבולית קטנה,סקרלט ג'והנסון יוצאת לדייט עיוור עם פיטבולית קטנה,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,hi,Hindi,स्कारलेट जोहानसन की एक छोटी पिटबुल के साथ ब्लाइंड डेट है,स्कारलेट जोहानसन की एक छोटी पिटबुल के साथ ब्लाइंड डेट है,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,id,Indonesian,Scarlett Johansson punya kencan buta dengan seekor pitbull kecil,Scarlett Johansson punya kencan buta dengan seekor pitbull kecil,True
